v1,v2
ham,Please send me the report by evening.
ham,Let's have lunch together tomorrow.
ham,The meeting has been rescheduled to 3 PM.
ham,Your order has been delivered successfully.
spam,URGENT! Your account has won a reward.
ham,Don't forget to bring your notebook.
spam,Click here to receive your cashback.
spam,Click here to receive your cashback.
ham,Your appointment is confirmed for Monday.
ham,I'll call you after reaching home.
spam,Exclusive deal! Buy one get one free.
spam,Lowest loan interest available. Apply now.
spam,Limited time offer! Get 80% discount today.
spam,Exclusive deal! Buy one get one free.
spam,Click here to receive your cashback.
spam,Click here to receive your cashback.
ham,Can we meet tomorrow at 10 AM?
spam,Click here to receive your cashback.
spam,Exclusive deal! Buy one get one free.
spam,Claim your lottery prize immediately.
ham,Please send me the report by evening.
ham,Your order has been delivered successfully.
spam,URGENT! Your account has won a reward.
spam,Limited time offer! Get 80% discount today.
ham,The meeting has been rescheduled to 3 PM.
spam,Earn money from home without investment.
spam,Claim your lottery prize immediately.
ham,Don't forget to bring your notebook.
ham,Let's have lunch together tomorrow.
spam,URGENT! Your account has won a reward.
spam,You have been selected for a special gift.
ham,Your appointment is confirmed for Monday.
spam,Limited time offer! Get 80% discount today.
ham,Let's have lunch together tomorrow.
ham,Can we meet tomorrow at 10 AM?
ham,Your order has been delivered successfully.
spam,Congratulations! You won a free iPhone. Claim now.
spam,Limited time offer! Get 80% discount today.
ham,Your appointment is confirmed for Monday.
spam,URGENT! Your account has won a reward.
spam,URGENT! Your account has won a reward.
ham,I'll call you after reaching home.
ham,Don't forget to bring your notebook.
spam,Win cash prize worth $1000. Click here.
ham,The meeting has been rescheduled to 3 PM.
ham,Don't forget to bring your notebook.
spam,Claim your lottery prize immediately.
ham,Happy Birthday! Have a wonderful day.
spam,Click here to receive your cashback.
spam,Win cash prize worth $1000. Click here.
spam,Congratulations! You won a free iPhone. Claim now.
ham,Happy Birthday! Have a wonderful day.
spam,You have been selected for a special gift.
ham,Your order has been delivered successfully.
ham,Happy Birthday! Have a wonderful day.
spam,Lowest loan interest available. Apply now.
ham,Your appointment is confirmed for Monday.
spam,Limited time offer! Get 80% discount today.
spam,Win cash prize worth $1000. Click here.
ham,I'll call you after reaching home.
ham,Let's have lunch together tomorrow.
ham,Don't forget to bring your notebook.
spam,Exclusive deal! Buy one get one free.
ham,Your appointment is confirmed for Monday.
spam,You have been selected for a special gift.
spam,Earn money from home without investment.
ham,Your appointment is confirmed for Monday.
spam,Claim your lottery prize immediately.
spam,Lowest loan interest available. Apply now.
spam,Win cash prize worth $1000. Click here.
spam,Earn money from home without investment.
ham,Happy Birthday! Have a wonderful day.
ham,Thanks for your help yesterday.
spam,Exclusive deal! Buy one get one free.
spam,You have been selected for a special gift.
spam,Exclusive deal! Buy one get one free.
spam,Limited time offer! Get 80% discount today.
ham,The meeting has been rescheduled to 3 PM.
ham,I'll call you after reaching home.
spam,Limited time offer! Get 80% discount today.
spam,Congratulations! You won a free iPhone. Claim now.
ham,Your appointment is confirmed for Monday.
ham,Your appointment is confirmed for Monday.
spam,URGENT! Your account has won a reward.
spam,Exclusive deal! Buy one get one free.
spam,Limited time offer! Get 80% discount today.
ham,Your order has been delivered successfully.
spam,Limited time offer! Get 80% discount today.
ham,Happy Birthday! Have a wonderful day.
ham,Happy Birthday! Have a wonderful day.
spam,Claim your lottery prize immediately.
ham,Please send me the report by evening.
spam,URGENT! Your account has won a reward.
ham,Your appointment is confirmed for Monday.
ham,Your order has been delivered successfully.
spam,You have been selected for a special gift.
spam,URGENT! Your account has won a reward.
spam,Congratulations! You won a free iPhone. Claim now.
ham,Don't forget to bring your notebook.
spam,Lowest loan interest available. Apply now.
ham,Can we meet tomorrow at 10 AM?
ham,Don't forget to bring your notebook.
spam,Win cash prize worth $1000. Click here.
ham,Thanks for your help yesterday.
ham,Your appointment is confirmed for Monday.
spam,You have been selected for a special gift.
spam,Limited time offer! Get 80% discount today.
ham,Your order has been delivered successfully.
spam,URGENT! Your account has won a reward.
ham,Don't forget to bring your notebook.
spam,Win cash prize worth $1000. Click here.
ham,Please send me the report by evening.
ham,Let's have lunch together tomorrow.
spam,URGENT! Your account has won a reward.
spam,URGENT! Your account has won a reward.
spam,Earn money from home without investment.
ham,I'll call you after reaching home.
spam,Win cash prize worth $1000. Click here.
spam,Exclusive deal! Buy one get one free.
ham,Happy Birthday! Have a wonderful day.
spam,Win cash prize worth $1000. Click here.
spam,Congratulations! You won a free iPhone. Claim now.
spam,Click here to receive your cashback.
ham,Can we meet tomorrow at 10 AM?
spam,Limited time offer! Get 80% discount today.
ham,Your appointment is confirmed for Monday.
ham,Don't forget to bring your notebook.
ham,I'll call you after reaching home.
ham,Happy Birthday! Have a wonderful day.
spam,Lowest loan interest available. Apply now.
ham,Don't forget to bring your notebook.
ham,Your order has been delivered successfully.
